المرشحون: 172
تمت إضافتهم بعد الفلترة والتحقق: 128
تعذر تحديدهم تلقائيًا: 44
مستبعدون/مكررون: 0

FAILED GEOCODE:
مسار جداريات وسط غلاسكو | City Centre Mural Trail | فن شوارع | غلاسكو
داماسكينو | Damasqino Restaurant & Cafe | مطعم حلال | غلاسكو
مسار لوخ نيس 360 | Loch Ness 360 Trail | مسار | لوخ نيس
أقفال دوخغاروخ | Dochgarroch Locks | قناة وأقفال | إنفرنيس
شاطئ بالناكيل | Balnakeil Beach | شاطئ | الهايلاند
ميناء أولابول | Ullapool Harbour | ميناء | أولابول
إمبير كافيه | Ember Kafe Inverness | مقهى ومطعم حلال | إنفرنيس
فيري غلين | The Fairy Glen Skye | طبيعة | جزيرة سكاي
شاطئ كورال | Coral Beach Skye | شاطئ | جزيرة سكاي
براذرز بوينت | Brother's Point | ساحل وممشى | جزيرة سكاي
ميناء إلجول | Elgol Harbour | ميناء ومطل | جزيرة سكاي
مطل بواخيل إتيف مور | Buachaille Etive Mor Viewpoint | مطل | غلينكو
مطل لوخ أختريوختان | Loch Achtriochtan Viewpoint | مطل | غلينكو
شاطئ لوخ مورليتش | Loch Morlich Beach | بحيرة وشاطئ | أفيمور
غابة روثيميركوس | Rothiemurchus Forest | غابة | أفيمور
مركز لوخ غارتن للطبيعة | RSPB Loch Garten Nature Centre | محمية وطبيعة | أفيمور
مضيق كيليكرانكي | Killiecrankie Gorge | مضيق وممشى | بيتلوتشري
قفزة الجندي | Soldier's Leap Killiecrankie | معلم طبيعي | كيليكرانكي
هايلاند شوكولاتير | The Highland Chocolatier | شوكولاتة ومقهى | غراندتولي
ذا لودج فورست فيزيتور سنتر | The Lodge Forest Visitor Centre | غابة ومركز زوار | أبيرفويل
رصيف سانت أندروز | St Andrews Pier | رصيف | سانت أندروز
ميناء سانت مونانز | St Monans Harbour | ميناء | فايف
مسارات أوبن كلوز دندي | Open Close Dundee | فن شوارع | دندي
وايلد شور دندي | Wildshore Dundee | ترفيه مائي | دندي
النسيج العظيم لاسكتلندا | The Great Tapestry of Scotland | متحف وتجربة ثقافية | غالا شيلز
غالاوي فورست بارك | Galloway Forest Park | غابة ومنتزه | دومفريز وغالاوي
غري ميرز تيل | Grey Mare's Tail Nature Reserve | شلال ومحمية | موفات
قلعة وحدائق دراملانريغ | Drumlanrig Castle and Gardens | قلعة وحدائق | دومفريز وغالاوي
متجر الحداد الشهير في غريتنا غرين | Gretna Green Famous Blacksmiths Shop | معلم تاريخي ومتجر | غريتنا غرين
ويغتاون بلدة الكتب | Wigtown Book Town | بلدة ثقافية | ويغتاون
كيتشن كوز آند يوز | Kitchen Coos and Ewes | مزرعة وتجربة | دومفريز وغالاوي
كيلبورن كاسل إستيت | Kelburn Castle and Estate | قلعة وحدائق | أيرشاير
قلعة وحدائق بروديك | Brodick Castle Garden and Country Park | قلعة ومنتزه | جزيرة أران
دوائر ماتشري مور الحجرية | Machrie Moor Stone Circles | موقع أثري | جزيرة أران
شاطئ كيلدونان | Kildonan Beach Arran | شاطئ | جزيرة أران
وست كيلبرايد بلدة الحرف | West Kilbride Craft Town | بلدة وتسوق | أيرشاير
قلعة ومتحف دونولي | Dunollie Museum Castle and Grounds | قلعة ومتحف | أوبان
ميناء توبرموري | Tobermory Harbour | ميناء | جزيرة مول
خليج كالغاري | Calgary Bay Mull | شاطئ | جزيرة مول
قلعة ومتحف لويس | Lews Castle Museum nan Eilean | قصر ومتحف | جزيرة لويس
مطل سيليبوست | Seilebost Viewpoint | مطل | هاريس
منحدرات يسنابي | Yesnaby Cliffs | ساحل ومطل | أوركني
منحدرات إشانيس | Eshaness Cliffs | ساحل ومطل | شيتلاند
مطل موكل فلوغا | Muckle Flugga Viewpoint | مطل | شيتلاند

FILTERED:

FINAL:
الحدائق المخفية | The Hidden Gardens | حديقة | 55.8400712,-4.2678094 | The Hidden Gardens, Strathbungo, Glasgow, Glasgow City, Alba / Scotland, United Kingdom
سلم نبتون | Neptune's Staircase | قناة وأقفال | 56.8455588,-5.0969155 | Neptune's Staircase, B8004, Camaghael, Banavie, Highland, Alba / Scotland, PH33 7LY, United Kingdom
متحف ويست هايلاند | West Highland Museum | متحف | 56.8176305,-5.1110458 | West Highland Museum, Cameron Square, The Parade, Plantation, Fort William, Highland, Alba / Scotland, PH33 6AJ, United Kingdom
شلال ستيل | Steall Waterfall | شلال | 56.7702419,-4.9798298 | Steall Falls, Highland, Alba / Scotland, United Kingdom
مركز زوار غلين نيفيس | Glen Nevis Visitor Centre | مركز زوار | 56.8100616,-5.0769851 | Ben Nevis Visitor Centre, Glen Nevis Road, Achintee, Fort William, Highland, Alba / Scotland, PH33 6PF, United Kingdom
غلينكو لوخان | Glencoe Lochan | بحيرة وممشى | 56.6906905,-5.0958358 | Glencoe Lochan, Glencoe, Highland, Alba / Scotland, United Kingdom
سيغنال روك | Signal Rock Glencoe | غابة وممشى | 56.6649363,-5.0671918 | Tom a' Ghrianain, Glencoe Orbital Path, Highland, Alba / Scotland, United Kingdom
لوخ آن إيليين | Loch an Eilein | بحيرة وممشى | 57.1479823,-3.8194624 | Loch an Eilein, Highland, Alba / Scotland, United Kingdom
متحف هايلاند الشعبي | Highland Folk Museum | متحف مفتوح | 57.0686997,-4.1044481 | Highland Folk Museum, Strone Road, Newtonmore, Highland, Alba / Scotland, PH20 1AQ, United Kingdom
هايلاند وايلد لايف بارك | Highland Wildlife Park | حديقة حيوان | 57.1099026,-3.9758576 | Highland Wildlife Park, Kingussie, Kincraig, Highland, Alba / Scotland, PH21 1NL, United Kingdom
ثكنات روثفن | Ruthven Barracks | معلم تاريخي | 57.0721532,-4.0391735 | Ruthven Barracks, B970, Kingussie, Highland, Alba / Scotland, United Kingdom
لاغان وولف تراكس | Laggan Wolftrax | دراجات ومغامرات | 57.0001317,-4.3175957 | Laggan Wolftrax, A86, Achduchil, Laggan, Highland, Alba / Scotland, PH20 1BU, United Kingdom
لاند مارك فورست أدفنتشر بارك | Landmark Forest Adventure Park | ملاهي ومغامرات | 57.2777048,-3.8131005 | Landmark Forest Adventure Park, B9153, Carrbridge, Highland, Alba / Scotland, PH23 3AS, United Kingdom
غابة فاسكالي | Faskally Wood | غابة | 56.7153999,-3.7651952 | Faskally Forest, Faskally, Pitlochry, Perth and Kinross, Alba / Scotland, United Kingdom
شلال بلاك سباوت | Black Spout Waterfall Pitlochry | شلال | 56.6999295,-3.7105126 | The Black Spout, Pitlochry, Perth and Kinross, Alba / Scotland, PH16 5RB, United Kingdom
مركز سد بيتلوتشري | Pitlochry Dam Visitor Centre | سد ومركز زوار | 56.7001593,-3.7393098 | Pitlochry Dam Visitor Centre, Armoury Road, Pitlochry, Perth and Kinross, Alba / Scotland, PH16 5AP, United Kingdom
بحيرة فاسكالي | Loch Faskally | بحيرة وممشى | 56.7087653,-3.7714797 | Loch Faskally, Faskally, Pitlochry, Perth and Kinross, Alba / Scotland, United Kingdom
حديقة المستكشفين | Explorers Garden Pitlochry | حديقة | 56.6976159,-3.7356903 | Explorers' Garden, Pitlochry, Perth and Kinross, Alba / Scotland, PH16 5DR, United Kingdom
متحف بيرث | Perth Museum | متحف | 56.3958693,-3.4293585 | Perth Museum, St John's Place, Bridgend, Perth, Perth and Kinross, Alba / Scotland, PH1 5UT, United Kingdom
سجن ستيرلنغ القديم | Stirling Old Town Jail | معلم تاريخي | 56.1199540,-3.9440662 | Stirling Old Town Jail, Back Walk, Lower Town, Old Town, Stirling, Alba / Scotland, FK8 1EH, United Kingdom
تل دميات | Dumyat | مطل ومسار | 56.1574791,-3.8762520 | Dumyat, Blairlogie, Stirling, Alba / Scotland, United Kingdom
غو إيب أبيرفويل | Go Ape Aberfoyle | مغامرات | 56.1827126,-4.3856721 | Go Ape, A821, Kirkton, Aberfoyle, Stirling, Alba / Scotland, FK8 3SR, United Kingdom
طريق البحيرات الثلاث | Three Lochs Forest Drive | طريق بانورامي | 56.2083103,-4.3605532 | Three Lochs Forest Drive, Stirling, Alba / Scotland, United Kingdom
ذا باينابل | The Pineapple Dunmore | معلم وحديقة | 56.0766899,-3.7866427 | The Dunmore Pineapple, St Andrew's Drive, South Alloa, Falkirk, Alba / Scotland, FK2 8LP, United Kingdom
حديقة سانت أندروز النباتية | St Andrews Botanic Garden | حديقة نباتية | 56.3355176,-2.8063254 | St Andrews Botanic Garden, Town Centre, St Andrews, Fife, Alba / Scotland, KY16 8RT, United Kingdom
ويست ساندز | West Sands St Andrews | شاطئ | 56.3587614,-2.8094043 | West Sands, St Andrews, Fife, Alba / Scotland, United Kingdom
أكواريوم سانت أندروز | St Andrews Aquarium | أكواريوم | 56.3436647,-2.7998449 | St Andrews Aquarium, The Scores, Town Centre, St Andrews, Fife, Alba / Scotland, KY16 9AS, United Kingdom
متحف واردلو | Wardlaw Museum | متحف | 56.3429876,-2.7939691 | Wardlaw Museum, 7, The Scores, Ladyhead, St Andrews, Fife, Alba / Scotland, KY16 9AR, United Kingdom
متحف عالم الغولف | World Golf Museum | متحف رياضي | 56.3439392,-2.8015195 | R&A World Golf Museum, Bruce Embankment, Town Centre, St Andrews, Fife, Alba / Scotland, KY16 9JD, United Kingdom
ميناء كريل | Crail Harbour | ميناء | 56.2579655,-2.6270910 | Crail Harbour Gallery and Tearoom, 22, Shoregate, Crail, Fife, Alba / Scotland, KY10 3SU, United Kingdom
بيتنكريف بارك | Pittencrieff Park | منتزه | 56.0687389,-3.4670416 | Pittencrieff Park, Central Dunfermline, Wellwood, Dunfermline, Fife, Alba / Scotland, United Kingdom
المتحف الاسكتلندي لمصايد الأسماك | Scottish Fisheries Museum | متحف | 56.2219055,-2.6971428 | Scottish Fisheries Museum, St Ayles Crescent, Anstruther Easter, Anstruther, Fife, Alba / Scotland, KY10 3AB, United Kingdom
دندي لو | Dundee Law | مطل | 56.4701037,-2.9893945 | Dundee Law, Dundee, Dundee City, Alba / Scotland, DD3 6TN, United Kingdom
مرصد ميلز | Mills Observatory | مرصد | 56.4649218,-3.0126031 | Mills Observatory, Glamis Road, Sutherland, Balgay, Dundee, Dundee City, Alba / Scotland, DD2 2UB, United Kingdom
كامبرداون كانتري بارك | Camperdown Country Park | منتزه | 56.4851920,-3.0410136 | Camperdown Country Park, Myrekirk, Dundee, Dundee City, Alba / Scotland, DD2 4TF, United Kingdom
كامبرداون وايلد لايف سنتر | Camperdown Wildlife Centre | حديقة حيوان | 56.4811758,-3.0439959 | Camperdown Wildlife Centre, Coupar Angus Road, Pitalpin, Dryburgh, Dundee, Dundee City, Alba / Scotland, DD2 4TF, United Kingdom
فيردانت ووركس | Verdant Works | متحف صناعي | 56.4615976,-2.9833511 | Verdant Works Museum, West Henderson's Wynd, Blackness Industrial Area, University of Dundee Campus, Dudhope, Dundee, Dundee City, Alba / Scotland, DD1 5BY, United Kingdom
شاطئ بروتي فيري | Broughty Ferry Beach | شاطئ | 56.4684092,-2.8503400 | Broughty Ferry Beach, East Ferry, Broughty Ferry, Dundee, Dundee City, Alba / Scotland, United Kingdom
منحدرات أربروث | Arbroath Cliffs | ساحل وممشى | 56.5611570,-2.5574795 | Arbroath Cliffs Car Park, King's Drive, Cliffburn, Arbroath, Angus, Alba / Scotland, DD11 5FF, United Kingdom
كرومبي كانتري بارك | Crombie Country Park | منتزه وغابة | 56.5561319,-2.7801737 | Crombie Country Park, Letham & District, Craigton of Monikie, Angus, Alba / Scotland, United Kingdom
كوري في | Corrie Fee | وادي ومسار | 56.8611310,-3.2339987 | Corrie Fee, Angus, Alba / Scotland, United Kingdom
شاطئ أبردين | Aberdeen Beach | شاطئ | 57.1586697,-2.0780436 | Aberdeen Beach, Castlehill and Pittodrie, Aberdeen City, Alba / Scotland, United Kingdom
فوتدي | Footdee Fittie | قرية صيد تاريخية | 57.1432444,-2.0713123 | Footdee, Castlehill and Pittodrie, Aberdeen City, Alba / Scotland, United Kingdom
داثي بارك | Duthie Park | حديقة | 57.1306317,-2.1031544 | Duthie Park, Ferryhill and Ruthrieston, Aberdeen City, Alba / Scotland, AB11 7BH, United Kingdom
حدائق ديفيد ويلش الشتوية | David Welch Winter Gardens | حديقة نباتية | 57.1319195,-2.1045074 | The David Welch Winter Garden, Ferryhill, Ferryhill and Ruthrieston, Aberdeen City, Alba / Scotland, AB11 7TH, United Kingdom
جونستون غاردنز | Johnston Gardens Aberdeen | حديقة | 57.1361455,-2.1486713 | Johnston Gardens, Craigiebuckler, Craigiebuckler and Seafield, Aberdeen City, Alba / Scotland, United Kingdom
شارع يونيون | Union Street Aberdeen | شارع وتسوق | 57.1463381,-2.0999753 | German Döner Kebab, 118, Union Street, Merchant Quarter, City Centre, Aberdeen City, Alba / Scotland, AB10 1JJ, United Kingdom
بروفوست سكينز هاوس | Provost Skene's House | منزل تاريخي | 57.1482612,-2.0975907 | Provost Skene's House, Guestrow, City Centre, Aberdeen City, Alba / Scotland, AB10 1AS, United Kingdom
بطارية توري | Torry Battery | مطل ساحلي | 57.1416211,-2.0591586 | Torry Battery, Greyhope Road, Balnagask, Torry, Aberdeen City, Alba / Scotland, AB11 8QX, United Kingdom
غريهوب باي | Greyhope Bay | مطل ساحلي | 57.1406963,-2.0510549 | Greyhope Bay, Aberdeen City, Alba / Scotland, AB11 8QX, United Kingdom
شاطئ بالميدي | Balmedie Beach | شاطئ | 57.2519755,-2.0390984 | Balmedie Beach Wheel Chairs, North Beach Road, Balmedie, Aberdeenshire, Alba / Scotland, AB23 8XU, United Kingdom
شاطئ نيوبرغ للأختام | Newburgh Beach Aberdeenshire | شاطئ وحياة برية | 57.3188269,-1.9769920 | Newburgh Seal Beach, Newburgh, Aberdeenshire, Alba / Scotland, United Kingdom
بيرن أو فات | Burn O'Vat | معلم طبيعي | 57.0838772,-2.9502917 | The Vat, B9119, Milton of Logie, Aberdeenshire, Alba / Scotland, AB34 5NB, United Kingdom
أبوتسفورد هاوس | Abbotsford House | منزل تاريخي | 55.5995080,-2.7821864 | Abbotsford House, Abbotsford, Melrose, Scottish Borders, Alba / Scotland, TD6 9BQ, United Kingdom
محمية سانت أبس هيد | St Abb's Head National Nature Reserve | محمية ساحلية | 55.9101144,-2.1341711 | St Abb's Head National Nature Reserve, Blackpotts, St Abbs, Scottish Borders, Alba / Scotland, United Kingdom
مطل سكوت | Scott's View | مطل | 55.6002068,-2.6468925 | Scott's View, Halidean Mill, Redpath, Scottish Borders, Alba / Scotland, United Kingdom
قلعة فلورز | Floors Castle | قلعة وحدائق | 55.6049727,-2.4598261 | Floors Castle, Broadloan, Kelso, Scottish Borders, Alba / Scotland, TD5 7NX, United Kingdom
بو هيل هاوس | Bowhill House | قصر وحدائق | 55.5405088,-2.9116787 | Bowhill House, Duchess's Drive, Scottish Borders, Alba / Scotland, TD7 5ET, United Kingdom
سجن قلعة جيدبرغ | Jedburgh Castle Jail and Museum | متحف تاريخي | 55.4741459,-2.5587516 | Jedburgh Castle, Castle Gate, Castlewood Farm, Jedburgh, Scottish Borders, Alba / Scotland, TD8 6AS, United Kingdom
هاريستانز | Harestanes Countryside Visitor Centre | مركز ريفي | 55.5124969,-2.5689423 | Harestanes Countryside Visitor Centre, B6400, Harestanes, Jedburgh, Scottish Borders, Alba / Scotland, TD8 6UQ, United Kingdom
غلينتريس فورست | Glentress Forest | غابة ودراجات | 55.6569364,-3.1820066 | Glentress Forest, Peebles, Scottish Borders, Alba / Scotland, EH45 8FA, United Kingdom
جسر ليدرفوت | Leaderfoot Viaduct | جسر تاريخي | 55.6041978,-2.6779765 | Leaderfoot Viaduct, Leaderfoot, Redpath, Scottish Borders, Alba / Scotland, TD6 9DQ, United Kingdom
قلعة كيرلافروك | Caerlaverock Castle | قلعة تاريخية | 54.9756512,-3.5241093 | Caerlaverock Castle, B725, Shearington, Dumfries and Galloway, Alba / Scotland, DG1 4RU, United Kingdom
حديقة لوغان النباتية | Logan Botanic Garden | حديقة نباتية | 54.7418345,-4.9594673 | Logan Botanic Gardens, Port Logan, Dumfries and Galloway, Alba / Scotland, United Kingdom
كراويك ملتيفيرس | Crawick Multiverse | منتزه فني | 55.3822605,-3.9326660 | Crawick Multiverse, Crawick, Sanquhar, Dumfries and Galloway, Alba / Scotland, DG4 6EG, United Kingdom
موات براي | Moat Brae | مركز أدب وقصص | 55.0716627,-3.6130673 | Moat Brae - Birthplace of Peter Pan, 101, George Street, Town Centre, Loreburn, Dumfries, Dumfries and Galloway, Alba / Scotland, DG1 1EA, United Kingdom
منارة مول أوف غالاوي | Mull of Galloway Lighthouse | منارة ومطل | 54.6349609,-4.8571391 | Mull of Galloway Lighthouse, Dumfries and Galloway, Alba / Scotland, DG9 9HP, United Kingdom
ميناء بورتباتريك | Portpatrick Harbour | ميناء | 54.8424326,-5.1192967 | Portpatrick Harbour, Welsh Place, Portpatrick, Dumfries and Galloway, Alba / Scotland, DG9 8TZ, United Kingdom
متحف مسقط رأس روبرت برنز | Robert Burns Birthplace Museum | متحف | 55.4275229,-4.6345634 | Robert Burns Birthplace Museum, Murdoch's Lone, St Leonards, Alloway, South Ayrshire, Alba / Scotland, KA7 4PQ, United Kingdom
دين كاسل كانتري بارك | Dean Castle Country Park | قلعة ومنتزه | 55.6248579,-4.4786116 | Dean Castle Country Park, New Farm Loch, Kilmarnock, East Ayrshire, Alba / Scotland, United Kingdom
قلعة دونيور | Dunure Castle | قلعة ساحلية | 55.4050662,-4.7618111 | Dunure Castle, Castle Road, Ayr, South Ayrshire, Alba / Scotland, KA7 4LW, United Kingdom
هيدز أوف أير فارم بارك | Heads of Ayr Farm Park | مزرعة وترفيه | 55.4268538,-4.6908111 | Heads of Ayr Farm Park, A719, Alloway, South Ayrshire, Alba / Scotland, KA7 4LD, United Kingdom
المتحف البحري الاسكتلندي | Scottish Maritime Museum | متحف بحري | 55.6095077,-4.6764356 | Scottish Maritime Museum, Linthouse Vennel, Irvine Harbour, Fullarton, Irvine, North Ayrshire, Alba / Scotland, KA12 8BT, United Kingdom
شلالات غليناشديل | Glenashdale Falls | شلال | 55.4790202,-5.1197635 | Glenashdale Falls, Whiting Bay, North Ayrshire, Alba / Scotland, United Kingdom
أوبان شوكولات كومباني | Oban Chocolate Company | شوكولاتة ومقهى | 56.4165357,-5.4739273 | Oban Chocolate Company, 34, Corran Esplanade, Town Centre, Oban, Argyll and Bute, Alba / Scotland, PA34 5PS, United Kingdom
غانافان ساندز | Ganavan Sands | شاطئ | 56.4389722,-5.4695236 | Ganavan Sands, Ganavan, Oban, Argyll and Bute, Alba / Scotland, United Kingdom
بولبيت هيل | Pulpit Hill Oban | مطل | 56.4095085,-5.4817058 | Pulpit Hill, Oban, Argyll and Bute, Alba / Scotland, PA34 4LY, United Kingdom
مركز كروشان لتوليد الطاقة | Cruachan Visitor Centre | مركز زوار وهندسة | 56.3944991,-5.1161809 | Cruachan Power Station Visitor Centre, A85, Lochawe, Argyll and Bute, Alba / Scotland, PA33 1AN, United Kingdom
حديقة بنمور النباتية | Benmore Botanic Garden | حديقة نباتية | 56.0254131,-4.9919643 | Benmore Botanic Garden, Benmore, Argyll and Bute, Alba / Scotland, United Kingdom
سجن إنفيراري | Inveraray Jail | متحف تاريخي | 56.2298247,-5.0721391 | Inveraray Jail, Church Square, Inveraray, Argyll and Bute, Alba / Scotland, PA32 8TX, United Kingdom
متحف كيلمارتن | Kilmartin Museum | متحف آثار | 56.1333906,-5.4867587 | Kilmartin House Museum, A816, Kilmartin, Argyll and Bute, Alba / Scotland, PA31 8RN, United Kingdom
كيلمارتن غلين | Kilmartin Glen | موقع أثري | 56.1324635,-5.4854917 | Kilmartin Glen, A816, Kilmartin, Argyll and Bute, Alba / Scotland, PA31 8RN, United Kingdom
أروس بارك | Aros Park | منتزه وغابة | 55.4307914,-4.6196122 | Aros, 2, Windward Park, St Leonards, Ayr, South Ayrshire, Alba / Scotland, KA7 4UG, United Kingdom
